type,term,page
index,Aeschylus,"84, 156, 158, 161-3, 166-8, 319"
index,Alain,181
index,"Althusser, L.","23, 187, 224"
index,Aristotle,"49, 122, 191, 235"
index,"Aron, R.",302
index,"Beckett, S.","280, 330"
index,"Berkeley, G.",117-18
index,"Bernstein, E.",208
index,"Beuve-M ery, H.",292
index,"Brecht, B.",84
index,"Brezhnev, L.",1
index,.,97
index,"Bukharin, N.",312-14
index,"Camus, A.",302
index,"Cantor, G.","216, 217, 261, 266"
index,"Chateaubriand, F.-R.",280
index,"Cohen, P.-J.",271-4
index,"Comte, A.","xxxvii, 49"
index,"Conrad, J.",159
index,"Crane, S.",295
index,"De Saci,",1
index,.,301
index,"Debord, G.",329
index,"Deleuze, G.","22, 207, 287"
index,Democritus,"59-60, 69"
index,"Descartes, R.","40, 187, 301"
index,"Devlin, K. J.",267-8
index,"Duras, M.",131
index,Epictetus,301
index,Epicurus,319
index,Eudoxus,"203, 205"
index,Euripides,165-6
index,"Fermat, P.",40
index,"Flaubert, G.",310
index,"Foucault, M.","187, 188"
index,"Fourier, Ch.",298
index,"Freud, A.",209
index,"Freud, S.","115, 124, 125-8, 132, 135, 161, 166, 174, 197, 225, 279-80, 284"
index,"Galois, E.",216
index,"Gauss, C. F.",216
index,"Gide, A.",310
index,"Glucksmann, A.",182
index,G,6
index,deL K.,"267, 268-9, 270-1, 273, 286"
index,"Goethe, J. W. von",35
index,"Gracq, J.","xli, 280"
index,"Hebert, J.",186
index,"Heidegger, M.","7, 69, 234-5"
index,"Hilbert, D.",216
index,"Hugo, V.",95
index,"Jech, T. Jones, E.",209
index,"Jung, C. G.",208
index,"Kant, I.","95, 117-19, 186, 191, 194, 201, 278, 287"
index,"Kautsky, K.",191
index,"Khrushchev, N.","180, 208"
index,"La Mettrie, J.",121
index,"La Rochefoucauld, F.",319
index,"Lassalie, F.",209
index,"Leibniz, G. W.","24, 69"
index,"Levi-Strauss, c.",207
index,Lin Biao,"17, 180"
index,Liu Shaoqi,"17, 314, 325"
index,Louis,XI 296
index,Lucretius,12 I
index,"Malebranche, N.",37
index,"Marchais, G.",97
index,"Mersenne, M.",40
index,"Miller, J.-A.",132-5
index,"Milner, J.-C.",262-3
index,"Mitterrand, F.","45, 329, 351"
index,"Moliet, G.",302
index,Montaigne,301
index,"Miintzer, T.",298
index,"Newton, I.",186
index,PascaL B.,"40-1, 280, 301"
index,"Petain, Ph.",xL 310
index,Plato,"184, 191, 193, 318"
index,Pol Pot,181
index,"Politzer, G.",179
index,"Pompidou, G.",42
index,Pythagoras,202-5
index,"Reich, W.",208
index,"Rimbaud, A.","116, 168, 216, 310, 332"
index,"Robespierre, M.","292, 296"
index,"Rousseau, J.-J.",41
index,"Rowbottom, F.",269-70
index,Saint Luke,23
index,Saint Paul,"125, 191"
index,Saint Peter,125
index,Saint Thomas,122
index,Saint-John Perse,254
index,"Sandevince, P.","xxxix, xliv"
index,"Sartre, J.-P.","272, 278, 299, 300, 302"
index,"Schelling, F. W. J.",318
index,"Seguy, G.",42
index,"Shafarevitch, I.",154
index,Sophocles,"155-6, 158, 161-6, 168, 309, 315"
index,"Spinoza, B.","22, 37, 160"
index,"Stalin, J.","xl, 20, 38, 81, 91, 117, 180, 193, 205, 209, 225-6, 232, 294-6, 302, 312, 315, 325"
index,"Thiers, A.",310
index,"Viele-Griffin, F.",97
index,"Villiers de l'Isle Adam, A.",310
index,Voltaire,186
index,"Vyshinsky, A. I.",312-14
index,"Wagner, R.","65, 89, 107, 236, 318, 333"
index,Wang Hongwen,315-16
index,"Zola, E.",98
